Kodea,Izena,Kokalekua,Helbidea,PostaKodea,Herria,Probintzia,Kategoria,Edukiera
PVI00001,IBAYA,Zuazo de Vitoria/Zuhatzu,"Zuazo de Vitoria, 21",01195,Vitoria-Gasteiz,Araba/Álava,T,250
PVI00002,ANGOSTO,Villanañe,"Carretera Angosto, 2-BIS",01426,Valdegovía/Gaubea,Araba/Álava,P,244
PVI00003,EL ROBLE VERDE,Lasierra,"Lasierra, 0",01428,Erriberagoitia/Ribera Alta,Araba/Álava,P,520
